1	26
1	40
1	68
1	71
1	73
1	76
2	21
2	25
2	53
2	68
2	73
2	78
3	53
3	54
3	57
3	63
3	65
3	73
4	17
4	29
4	32
4	62
4	63
4	75
5	20
5	24
5	38
5	43
5	55
5	67
6	11
6	24
6	48
6	52
6	57
6	79
7	8
7	59
7	61
7	69
7	75
7	81
8	7
8	23
8	52
8	67
8	71
8	80
9	58
9	71
9	74
9	75
9	76
9	81
10	46
10	48
10	52
10	56
10	58
10	72
11	6
11	12
11	14
11	40
11	44
11	54
12	11
12	35
12	56
12	61
12	70
12	75
13	38
13	60
13	65
13	73
13	79
13	81
14	11
14	22
14	36
14	37
14	49
14	70
15	40
15	51
15	56
15	66
15	68
15	78
16	50
16	67
16	69
16	70
16	72
16	77
17	4
17	28
17	43
17	63
17	64
17	72
17	79
18	21
18	49
18	61
18	75
18	76
18	77
18	81
19	23
19	55
19	58
19	62
19	74
19	77
19	81
20	5
20	56
20	73
20	74
20	76
20	77
20	81
21	2
21	18
21	59
21	60
21	64
21	73
21	79
22	14
22	33
22	42
22	44
22	49
22	79
22	80
23	8
23	19
23	35
23	45
23	47
23	52
23	70
24	5
24	6
24	34
24	42
24	55
24	78
24	80
25	2
25	30
25	34
25	76
25	77
25	78
25	79
26	1
26	27
26	54
26	65
26	68
26	73
26	77
27	26
27	43
27	60
27	75
27	76
27	78
27	80
28	17
28	29
28	35
28	36
28	46
28	69
28	75
29	4
29	28
29	55
29	65
29	66
29	69
29	75
30	25
30	44
30	46
30	57
30	63
30	64
30	79
31	50
31	53
31	66
31	72
31	77
31	78
31	80
32	4
32	37
32	49
32	55
32	56
32	69
32	75
33	22
33	55
33	59
33	68
33	72
33	80
33	81
34	24
34	25
34	38
34	57
34	74
34	77
34	80
34	81
35	12
35	23
35	28
35	53
35	67
35	70
35	71
35	80
36	14
36	28
36	64
36	68
36	74
36	76
36	78
36	81
37	14
37	32
37	49
37	50
37	62
37	73
37	80
37	81
38	5
38	13
38	34
38	65
38	68
38	71
38	72
38	73
39	43
39	51
39	60
39	65
39	67
39	70
39	71
39	78
40	1
40	11
40	15
40	41
40	46
40	54
40	67
40	79
40	80
41	40
41	51
41	58
41	59
41	63
41	64
41	69
41	72
41	79
42	22
42	24
42	47
42	51
42	54
42	56
42	61
42	69
42	75
