degree distribution (probability density function of the degree in logarithmic bins) 
6	0.289477
7	0.171094
8	0.126405
9	0.0448267
10	0.0695484
11.4615	0.11451
13	0.0312373
14.6	0.0346175
16.5	0.0122763
18.8333	0.0326514

degree distribution (degree-occurrences) 
6	0.222222
7	0.148148
8	0.123457
9	0.0493827
10	0.0864198
11	0.0864198
12	0.0740741
13	0.0493827
14	0.0246914
15	0.037037
16	0.0123457
17	0.0123457
18	0.037037
19	0.0123457
20	0.0246914


--------------------------------------
community distribution (size-occurrences)
9	0.428571
10	0.285714
15	0.142857
19	0.142857


--------------------------------------
mixing parameter
0	0.246914
0.0578704	0.037037
0.068254	0.037037
0.0769231	0.0123457
0.0833333	0.0493827
0.0963636	0.185185
0.105263	0.0123457
0.112418	0.0617284
0.125	0.0987654
0.133333	0.0123457
0.142857	0.0864198
0.153846	0.037037
0.166667	0.111111
0.181818	0.0123457

--------------------------------------
